O2 Potential,N2 Current Density,O2 Current Density,E
1.05,0.00305,-0.09484,-0.09789
1.045,-0.0104,-0.13527,-0.12487
1.04,0.0075,-0.13987,-0.14737
1.035,0.00941,-0.21115,-0.22055
1.03,-0.01951,-0.19042,-0.17091
1.025,-0.01302,-0.22772,-0.2147
1.02,0.00128,-0.25896,-0.26024
1.015,-0.00316,-0.27841,-0.27524
1.01,-0.00017,-0.29656,-0.2964
1.005,-0.00853,-0.30363,-0.2951
1.0,0.00879,-0.38386,-0.39265
0.995,0.00778,-0.39569,-0.40346
0.99,0.00066,-0.44884,-0.4495
0.985,0.01127,-0.49275,-0.50402
0.98,0.00468,-0.51769,-0.52237
0.975,-0.00859,-0.58336,-0.57476
0.97,0.00369,-0.62887,-0.63256
0.965,-0.00959,-0.72563,-0.71604
0.96,0.00878,-0.8091,-0.81788
0.955,-0.0005,-0.87826,-0.87776
0.95,-0.00185,-0.95372,-0.95187
0.945,-0.00681,-1.04619,-1.03938
0.94,0.01223,-1.16903,-1.18126
0.935,-0.00155,-1.24969,-1.24815
0.93,-0.00428,-1.35759,-1.3533
0.925,-0.00352,-1.42883,-1.42531
0.92,0.00532,-1.56483,-1.57015
0.915,0.00365,-1.74846,-1.75211
0.91,0.00413,-1.87159,-1.87571
0.905,0.00431,-2.03444,-2.03875
0.9,0.02142,-2.16057,-2.18198
0.895,-0.00406,-2.28955,-2.28549
0.89,-0.00512,-2.42158,-2.41646
0.885,-0.00814,-2.61196,-2.60382
0.88,0.00616,-2.76308,-2.76924
0.875,0.01129,-2.94557,-2.95686
0.87,-0.00114,-3.05756,-3.05642
0.865,-0.0084,-3.22538,-3.21698
0.86,-0.00824,-3.36184,-3.35359
0.855,0.00651,-3.51237,-3.51887
0.85,0.00743,-3.63605,-3.64348
0.845,0.00543,-3.80376,-3.80919
0.84,-0.00666,-3.92698,-3.92032
0.835,0.00232,-3.97824,-3.98056
0.83,0.00117,-4.1636,-4.16476
0.825,0.00219,-4.27043,-4.27262
0.82,0.00871,-4.31591,-4.32463
0.815,0.00224,-4.39218,-4.39442
0.81,0.00679,-4.56486,-4.57165
0.805,0.00068,-4.63358,-4.63426
0.8,0.00289,-4.69799,-4.70088
0.795,0.00631,-4.74288,-4.7492
0.79,-0.01457,-4.86412,-4.84955
0.785,-0.0032,-4.91079,-4.90759
0.78,-0.0047,-4.9467,-4.942
0.775,-0.00639,-5.00511,-4.99872
0.77,-0.00275,-5.06837,-5.06562
0.765,0.01495,-5.10638,-5.12133
0.76,-0.00866,-5.17017,-5.16151
0.755,0.00968,-5.18281,-5.19249
0.75,-0.01683,-5.21545,-5.19862
0.745,-0.00335,-5.23451,-5.23117
0.74,0.00163,-5.27652,-5.27815
0.735,0.00586,-5.27971,-5.28557
0.73,0.00711,-5.2903,-5.29741
0.725,0.00793,-5.32675,-5.33468
0.72,-0.00349,-5.34022,-5.33673
0.715,-0.00462,-5.36185,-5.35723
0.71,0.00858,-5.37701,-5.38559
0.705,-0.00191,-5.40411,-5.4022
0.7,-0.01276,-5.39475,-5.38199
0.695,-0.01133,-5.41326,-5.40192
0.69,-0.00919,-5.37864,-5.36944
0.685,0.00497,-5.39729,-5.40226
0.68,0.00142,-5.42844,-5.42987
0.675,0.0069,-5.45806,-5.46497
0.67,-0.00427,-5.47101,-5.46674
0.665,0.00159,-5.43028,-5.43187
0.66,0.00626,-5.45364,-5.4599
0.655,-0.00309,-5.45359,-5.45049
0.65,0.00457,-5.50193,-5.5065
0.645,-0.00662,-5.45194,-5.44532
0.64,-0.00363,-5.46449,-5.46085
0.635,-0.00382,-5.49855,-5.49473
0.63,-0.01196,-5.48825,-5.47629
0.625,0.00487,-5.47576,-5.48063
0.62,-0.00469,-5.48198,-5.47728
0.615,0.00012,-5.49065,-5.49078
0.61,0.00481,-5.48847,-5.49328
0.605,0.00447,-5.49287,-5.49733
0.6,0.00665,-5.48605,-5.49271
0.595,-0.00098,-5.46082,-5.45983
0.59,-0.00423,-5.54261,-5.53837
0.585,-0.0008,-5.49693,-5.49613
0.58,-0.01687,-5.48948,-5.47261
0.575,-0.01447,-5.48782,-5.47335
0.57,-0.01323,-5.50184,-5.48861
0.565,-0.00997,-5.53012,-5.52015
0.56,0.004,-5.48896,-5.49295
0.555,-0.00905,-5.46144,-5.45239
0.55,-0.00378,-5.52709,-5.5233
0.545,0.01299,-5.47951,-5.4925
0.54,-0.00356,-5.50369,-5.50013
0.535,0.00738,-5.49865,-5.50603
0.53,-0.00934,-5.51875,-5.50942
0.525,-0.00205,-5.50463,-5.50257
0.52,-0.0095,-5.47215,-5.46265
0.515,-0.00339,-5.4867,-5.48331
0.51,0.0084,-5.46388,-5.47228
0.505,-0.01727,-5.47513,-5.45786
0.5,0.00434,-5.49004,-5.49438
0.495,0.00238,-5.46406,-5.46644
0.49,-0.00594,-5.49027,-5.48433
0.485,-0.01446,-5.48259,-5.46813
0.48,0.00072,-5.50517,-5.50589
0.475,-0.00529,-5.49799,-5.4927
0.47,0.00233,-5.51334,-5.51567
0.465,0.00022,-5.47966,-5.47988
0.46,0.01602,-5.52308,-5.5391
0.455,-0.00239,-5.48392,-5.48152
0.45,-0.01023,-5.50342,-5.49319
0.445,0.00179,-5.47623,-5.47802
0.44,0.0022,-5.48467,-5.48687
0.435,0.01359,-5.46331,-5.4769
0.43,0.00835,-5.48513,-5.49349
0.425,0.00357,-5.53122,-5.53479
0.42,0.01463,-5.50114,-5.51577
0.415,-0.01189,-5.52326,-5.51137
0.41,-0.0064,-5.51021,-5.50381
0.405,-0.00927,-5.46963,-5.46037
0.4,-0.0039,-5.48712,-5.48322
0.395,-0.01377,-5.51386,-5.5001
0.39,0.00635,-5.52017,-5.52652
0.385,-0.00222,-5.49925,-5.49703
0.38,-0.01471,-5.52425,-5.50954
0.375,-0.01016,-5.51335,-5.50319
0.37,0.00314,-5.49369,-5.49683
0.365,0.00838,-5.47683,-5.48522
0.36,0.01997,-5.48777,-5.50774
0.355,0.02914,-5.54578,-5.57492
0.35,0.00414,-5.49387,-5.49801
0.345,-0.0099,-5.49852,-5.48863
0.34,-0.02132,-5.49169,-5.47037
0.335,0.00268,-5.46765,-5.47032
0.33,-0.00813,-5.54124,-5.53311
0.325,-0.00415,-5.5118,-5.50764
0.32,-0.00612,-5.48816,-5.48204
0.315,-0.00141,-5.53161,-5.5302
0.31,0.01066,-5.47046,-5.48112
0.305,0.00157,-5.49262,-5.49419
0.3,-0.00159,-5.48305,-5.48147
0.295,-0.01036,-5.51141,-5.50105
0.29,-0.01675,-5.48371,-5.46697
0.285,-0.00486,-5.47862,-5.47376
0.28,-0.00054,-5.49533,-5.4948
0.275,0.01768,-5.4953,-5.51298
0.27,0.0013,-5.49459,-5.49589
0.265,0.00983,-5.51726,-5.52709
0.26,-0.00499,-5.50294,-5.49795
0.255,-0.01185,-5.50305,-5.4912
0.25,-0.00965,-5.49233,-5.48268
0.245,-0.00725,-5.48,-5.47275
0.24,0.02128,-5.52117,-5.54245
0.235,-0.00821,-5.5025,-5.49428
0.23,0.00838,-5.47037,-5.47875
0.225,-0.00903,-5.51487,-5.50584
0.22,0.00932,-5.51644,-5.52576
0.215,0.00385,-5.49595,-5.4998
0.21,-0.00157,-5.48311,-5.48154
0.205,-0.00041,-5.49977,-5.49936
0.2,-0.00655,-5.47342,-5.46687
0.195,0.00446,-5.48286,-5.48732
0.19,-0.00455,-5.48316,-5.47861
0.185,-0.01226,-5.48892,-5.47666
0.18,-0.01278,-5.45345,-5.44067
0.175,0.00173,-5.5041,-5.50583
0.17,0.01579,-5.54007,-5.55586
0.165,0.0016,-5.46791,-5.46951
0.16,-0.00119,-5.50915,-5.50797
0.155,0.00286,-5.49784,-5.5007
0.15,0.01306,-5.47381,-5.48687
0.145,0.00219,-5.53204,-5.53424
0.14,-0.00411,-5.52503,-5.52092
0.135,0.01106,-5.53203,-5.54309
0.13,0.00429,-5.51588,-5.52017
0.125,0.01536,-5.49121,-5.50656
0.12,0.00183,-5.48952,-5.49135
0.115,-0.01224,-5.49447,-5.48223
0.11,-0.01368,-5.52826,-5.51457
0.105,0.01651,-5.5462,-5.56271
0.1,0.01724,-5.49891,-5.51615
0.095,-0.0018,-5.50944,-5.50764
0.09,-0.00383,-5.49081,-5.48698
0.085,0.01461,-5.48596,-5.50058
0.08,-0.01107,-5.49724,-5.48616
0.075,-0.00895,-5.4848,-5.47585
0.07,0.00643,-5.49542,-5.50185
0.065,-0.00395,-5.4894,-5.48545
0.06,-5e-05,-5.51409,-5.51404
0.055,-0.00163,-5.50359,-5.50196
0.05,0.00338,-5.49606,-5.49944
